Label,P3,R3,F3,S3,Sentence
Label1,0.7200854700854701,0.618348623853211,0.665350444225074,545,Sentence1
Label2,0.8047722342733189,0.5562218890554723,0.6578014184397164,667,Sentence2
Label3,0.0,0.0,0.0,0,Sentence3
